idx,ko,en
0,여러분들에게 공짜로 삶의 지혜,"So I want to start by offering you a free no-tech life hack,"
1,하나를 알려드리며 시작하겠습니다.,and all it requires of you is this:
2,여러분들이 하실 일은 이런겁니다.,that you change your posture for two minutes.
3,2분 동안 자세를 바꾸시면 되요.,"But before I give it away, I want to ask you to right now"
4,하지만 그 전에 부탁드리건데,do a little audit of your body and what you're doing with your body.
5,지금 여러분의 몸으로 뭘 하는 중인지 아셔야 합니다.,So how many of you are sort of making yourselves smaller?
6,여러분들 가운데 몇 분이나 몸을 웅크리고 계시죠?,"Maybe you're hunching, crossing your legs, maybe wrapping your ankles."
7,"어쩌면 몸을 구부리거나, 다리를 꼬거나",Sometimes we hold onto our arms like this.
8,아니면 발목을 감싸쥐고 있을수도 있죠.,Sometimes we spread out. (Laughter)
9,종종 우린 팔을 이런식으로 감싸기도 하지요.,I see you.
10,어떤 때는 쭉 펴기도 하구요. (웃음),So I want you to pay attention to what you're doing right now.
11,"네, 보입니다. (웃음)","We're going to come back to that in a few minutes,"
12,여러분이 지금 어떻게 하고 있는지 잘 보세요.,"and I'm hoping that if you learn to tweak this a little bit,"
13,몇 분 후 그 부분에 대해서 말씀드릴께요.,it could significantly change the way your life unfolds.
14,여러분이 자세를 조금만 조정한다면,"So, we're really fascinated with body language,"
15,훨씬 더 나은 인생이 펼쳐질 수도 있습니다.,and we're particularly interested in other people's body language.
16,사람들은 바디랭귀지에 꽤나 매료되곤 합니다.,"You know, we're interested in, like, you know — (Laughter) —"
17,그리고 우린 특히 다른 사람들의,"an awkward interaction, or a smile,"
18,바디 랭귀지에 관심을 가지지요.,"or a contemptuous glance, or maybe a very awkward wink,"
19,아시잖아요. 이런식으로 말이죠- (웃음),or maybe even something like a handshake.
20,"어색한 상호작용, 혹은 미소,",Narrator: Here they are arriving at Number 10.
21,"업신여기듯 쳐다본다거나 아주 이상한 윙크,",This lucky policeman gets to shake hands with the President of the United States.
22,심지어는 악수같은 것 까지도요.,Here comes the Prime Minister -- No. (Laughter) (Applause)
23,아나운서: 10번가에 도착 하셨습니다. 보십시오.,(Laughter) (Applause)
24,운 좋은 경찰관이네요. 미국 대통령과,"Amy Cuddy: So a handshake, or the lack of a handshake,"
25,악수를 합니다. 오! 수상께서도 악수를 하러,can have us talking for weeks and weeks and weeks.
26,오시네요.. ?가 아니군요. (웃음)(박수),Even the BBC and The New York Times.
27,(웃음) (박수),"So obviously when we think about nonverbal behavior,"
28,악수 한거랑 못한거를 가지고,or body language -- but we call it nonverbals as social scientists --
29,몇 주고 반복해서 말을 하게 되겠네요.,"it's language, so we think about communication."
30,심지어 BBC 나 뉴욕 타임즈도요.,"When we think about communication, we think about interactions."
31,비언어적 행동이나 바디랭귀지를,So what is your body language communicating to me?
32,보통 사회과학자들은 비언어라고 부르는데요.,What's mine communicating to you?
33,그것도 일종의 언어에요. 그래서 소통이란것은,And there's a lot of reason to believe that this is a valid way to look at this.
34,상호적인 작용이라고 할수 있죠.,So social scientists have spent a lot of time
35,그럼 저와 소통하는 여러분의 바디랭귀지는 무엇인가요?,"looking at the effects of our body language,"
36,혹은 저의 바디랭귀지는 어떤거죠?,"or other people's body language, on judgments."
37,이런 주장이 타당하다는 근거는 많습니다.,And we make sweeping judgments and inferences from body language.
38,사회 과학자들은 바디랭귀지의 효과를,And those judgments can predict really meaningful life outcomes
39,알아내려고 많은 노력을 하죠.,"like who we hire or promote, who we ask out on a date."
40,혹은 어떤 결과에 반응하는 사람들의 바디랭귀지도요.,"For example, Nalini Ambady, a researcher at Tufts University,"
41,우리는 바디랭귀지를 보고 대충 판단하거나 추정합니다.,shows that when people watch 30-second soundless clips
42,그런 판단은 의미심장한 결과를 예측할 수도 있습니다.,"of real physician-patient interactions,"
43,"누굴 고용하거나 승진시킬지, 누구에게 데이트 신청을 할건지 등이죠.",their judgments of the physician's niceness
44,터프츠대 연구원인 날리니 앰바디씨는,predict whether or not that physician will be sued.
45,사람들에게 의사와 환자가 대화를 나누는 장면을,So it doesn't have to do so much
46,음성 없이 30초간 보여주면,"with whether or not that physician was incompetent,"
47,좋은 의사인지 아닌지도 판단하고,but do we like that person and how they interacted?
48,고소를 당할지 아닐지까지 예측도 합니다.,"Even more dramatic, Alex Todorov at Princeton"
49,그말은 즉 의사가 무능력한지 여부와 상관없이,has shown us that judgments of political candidates' faces
50,우리는 의사들이 어떻게 상호적으로 반응했는지를 보고,in just one second predict 70 percent
51,평가를 한다는 말이겠지요?,"of U.S. Senate and gubernatorial race outcomes,"
52,"프린스톤 대학의 알렉스 토프의 연구는 더욱 놀라운데,","and even, let's go digital,"
53,정치 후보들의 얼굴을 보고,emoticons used well in online negotiations
54,1초만에 내린 판단으로 미국 상원의원의 70% 와,can lead you to claim more value from that negotiation.
55,지방 선거의 결과를 예측한답니다.,"If you use them poorly, bad idea. Right?"
56,"그럼 이젠, 디지탈쪽으로 가볼까요.","So when we think of nonverbals, we think of how we judge others,"
57,온라인 협상에서 자주 사용되는 이모티콘으로,how they judge us and what the outcomes are.
58,사람들의 주장이 더 설득력을 갖게 된다는 겁니다.,"We tend to forget, though, the other audience"
59,잘못 사용하면 당연히 안 좋겠죠?,"that's influenced by our nonverbals, and that's ourselves."
60,"그래서 비언어적인 행동을 생각할 때, 우리는 다른 사람을을 어찌 판단할지 생각합니다.","We are also influenced by our nonverbals,"
61,다른 사람들이 우리를 어떻게 생각하며 어떤 결과가 나오는가 하는것들이죠.,our thoughts and our feelings and our physiology.
62,"그런데, 사람들은 비언어적 행동에 영향을 받는",So what nonverbals am I talking about?
63,바로 자기 자신에 대해서는 잊는 경향이 있어요.,"I'm a social psychologist. I study prejudice,"
64,"우리는 비언어적 행동, 자신의 생각,","and I teach at a competitive business school,"
65,"감정, 그리고 인체 생리에도 영향을 받습니다.",so it was inevitable that I would become interested in power dynamics.
66,제가 어떤 비언어적 행동에 대해서 말하고 있는걸까요?,I became especially interested in nonverbal expressions
67,저는 사회심리학자에요. 편견에 대해서 연구하고 있고,of power and dominance.
68,유수의 경영대학에서 가르치고 있습니다.,And what are nonverbal expressions of power and dominance?
